week_start,category_id,category_name,keyword,geo,timeframe,interest,is_partial,source_id,source_file
2022-09-18,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2022-09-25,electronics,Electronics,headphones,US,today 5-y,21,False,SRC-TRENDS-001,electronics_headphones.csv
2022-10-02,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2022-10-09,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2022-10-16,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2022-10-23,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2022-10-30,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2022-11-06,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2022-11-13,electronics,Electronics,headphones,US,today 5-y,28,False,SRC-TRENDS-001,electronics_headphones.csv
2022-11-20,electronics,Electronics,headphones,US,today 5-y,36,False,SRC-TRENDS-001,electronics_headphones.csv
2022-11-27,electronics,Electronics,headphones,US,today 5-y,31,False,SRC-TRENDS-001,electronics_headphones.csv
2022-12-04,electronics,Electronics,headphones,US,today 5-y,29,False,SRC-TRENDS-001,electronics_headphones.csv
2022-12-11,electronics,Electronics,headphones,US,today 5-y,31,False,SRC-TRENDS-001,electronics_headphones.csv
2022-12-18,electronics,Electronics,headphones,US,today 5-y,30,False,SRC-TRENDS-001,electronics_headphones.csv
2022-12-25,electronics,Electronics,headphones,US,today 5-y,36,False,SRC-TRENDS-001,electronics_headphones.csv
2023-01-01,electronics,Electronics,headphones,US,today 5-y,26,False,SRC-TRENDS-001,electronics_headphones.csv
2023-01-08,electronics,Electronics,headphones,US,today 5-y,27,False,SRC-TRENDS-001,electronics_headphones.csv
2023-01-15,electronics,Electronics,headphones,US,today 5-y,25,False,SRC-TRENDS-001,electronics_headphones.csv
2023-01-22,electronics,Electronics,headphones,US,today 5-y,24,False,SRC-TRENDS-001,electronics_headphones.csv
2023-01-29,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-02-05,electronics,Electronics,headphones,US,today 5-y,24,False,SRC-TRENDS-001,electronics_headphones.csv
2023-02-12,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-02-19,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-02-26,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2023-03-05,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-03-12,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2023-03-19,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2023-03-26,electronics,Electronics,headphones,US,today 5-y,21,False,SRC-TRENDS-001,electronics_headphones.csv
2023-04-02,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2023-04-09,electronics,Electronics,headphones,US,today 5-y,20,False,SRC-TRENDS-001,electronics_headphones.csv
2023-04-16,electronics,Electronics,headphones,US,today 5-y,20,False,SRC-TRENDS-001,electronics_headphones.csv
2023-04-23,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2023-04-30,electronics,Electronics,headphones,US,today 5-y,20,False,SRC-TRENDS-001,electronics_headphones.csv
2023-05-07,electronics,Electronics,headphones,US,today 5-y,21,False,SRC-TRENDS-001,electronics_headphones.csv
2023-05-14,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2023-05-21,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-05-28,electronics,Electronics,headphones,US,today 5-y,21,False,SRC-TRENDS-001,electronics_headphones.csv
2023-06-04,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-06-11,electronics,Electronics,headphones,US,today 5-y,25,False,SRC-TRENDS-001,electronics_headphones.csv
2023-06-18,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-06-25,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-07-02,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-07-09,electronics,Electronics,headphones,US,today 5-y,27,False,SRC-TRENDS-001,electronics_headphones.csv
2023-07-16,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2023-07-23,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2023-07-30,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-08-06,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-08-13,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-08-20,electronics,Electronics,headphones,US,today 5-y,24,False,SRC-TRENDS-001,electronics_headphones.csv
2023-08-27,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-09-03,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-09-10,electronics,Electronics,headphones,US,today 5-y,21,False,SRC-TRENDS-001,electronics_headphones.csv
2023-09-17,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-09-24,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-10-01,electronics,Electronics,headphones,US,today 5-y,21,False,SRC-TRENDS-001,electronics_headphones.csv
2023-10-08,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-10-15,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2023-10-22,electronics,Electronics,headphones,US,today 5-y,21,False,SRC-TRENDS-001,electronics_headphones.csv
2023-10-29,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2023-11-05,electronics,Electronics,headphones,US,today 5-y,27,False,SRC-TRENDS-001,electronics_headphones.csv
2023-11-12,electronics,Electronics,headphones,US,today 5-y,30,False,SRC-TRENDS-001,electronics_headphones.csv
2023-11-19,electronics,Electronics,headphones,US,today 5-y,41,False,SRC-TRENDS-001,electronics_headphones.csv
2023-11-26,electronics,Electronics,headphones,US,today 5-y,35,False,SRC-TRENDS-001,electronics_headphones.csv
2023-12-03,electronics,Electronics,headphones,US,today 5-y,31,False,SRC-TRENDS-001,electronics_headphones.csv
2023-12-10,electronics,Electronics,headphones,US,today 5-y,33,False,SRC-TRENDS-001,electronics_headphones.csv
2023-12-17,electronics,Electronics,headphones,US,today 5-y,32,False,SRC-TRENDS-001,electronics_headphones.csv
2023-12-24,electronics,Electronics,headphones,US,today 5-y,38,False,SRC-TRENDS-001,electronics_headphones.csv
2023-12-31,electronics,Electronics,headphones,US,today 5-y,28,False,SRC-TRENDS-001,electronics_headphones.csv
2024-01-07,electronics,Electronics,headphones,US,today 5-y,27,False,SRC-TRENDS-001,electronics_headphones.csv
2024-01-14,electronics,Electronics,headphones,US,today 5-y,25,False,SRC-TRENDS-001,electronics_headphones.csv
2024-01-21,electronics,Electronics,headphones,US,today 5-y,25,False,SRC-TRENDS-001,electronics_headphones.csv
2024-01-28,electronics,Electronics,headphones,US,today 5-y,24,False,SRC-TRENDS-001,electronics_headphones.csv
2024-02-04,electronics,Electronics,headphones,US,today 5-y,24,False,SRC-TRENDS-001,electronics_headphones.csv
2024-02-11,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2024-02-18,electronics,Electronics,headphones,US,today 5-y,25,False,SRC-TRENDS-001,electronics_headphones.csv
2024-02-25,electronics,Electronics,headphones,US,today 5-y,24,False,SRC-TRENDS-001,electronics_headphones.csv
2024-03-03,electronics,Electronics,headphones,US,today 5-y,24,False,SRC-TRENDS-001,electronics_headphones.csv
2024-03-10,electronics,Electronics,headphones,US,today 5-y,24,False,SRC-TRENDS-001,electronics_headphones.csv
2024-03-17,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2024-03-24,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2024-03-31,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2024-04-07,electronics,Electronics,headphones,US,today 5-y,22,False,SRC-TRENDS-001,electronics_headphones.csv
2024-04-14,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2024-04-21,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2024-04-28,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2024-05-05,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2024-05-12,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2024-05-19,electronics,Electronics,headphones,US,today 5-y,29,False,SRC-TRENDS-001,electronics_headphones.csv
2024-05-26,electronics,Electronics,headphones,US,today 5-y,32,False,SRC-TRENDS-001,electronics_headphones.csv
2024-06-02,electronics,Electronics,headphones,US,today 5-y,30,False,SRC-TRENDS-001,electronics_headphones.csv
2024-06-09,electronics,Electronics,headphones,US,today 5-y,28,False,SRC-TRENDS-001,electronics_headphones.csv
2024-06-16,electronics,Electronics,headphones,US,today 5-y,23,False,SRC-TRENDS-001,electronics_headphones.csv
2024-06-23,electronics,Electronics,headphones,US,today 5-y,24,False,SRC-TRENDS-001,electronics_headphones.csv
2024-06-30,electronics,Electronics,headphones,US,today 5-y,25,False,SRC-TRENDS-001,electronics_headphones.csv
2024-07-07,electronics,Electronics,headphones,US,today 5-y,24,False,SRC-TRENDS-001,electronics_headphones.csv
2024-07-14,electronics,Electronics,headphones,US,today 5-y,30,False,SRC-TRENDS-001,electronics_headphones.csv
2024-07-21,electronics,Electronics,headphones,US,today 5-y,25,False,SRC-TRENDS-001,electronics_headphones.csv
2024-07-28,electronics,Electronics,headphones,US,today 5-y,26,False,SRC-TRENDS-001,electronics_headphones.csv
2024-08-04,electronics,Electronics,headphones,US,today 5-y,26,False,SRC-TRENDS-001,electronics_headphones.csv
